DATASET_BINARY
#lines starting with a hash are comments and ignored during parsing
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throught this file (except in the SEPARATOR line, which uses space).

#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL,binary_data

#dataset color (can be changed later)
COLOR,#ff0000

#Binary datasets can contain one or more values for each node. Each value will be represented by a symbol (defined in FIELD_SHAPES) with corresponding color and label (from FIELD_COLORS and FIELD_LABELS). Possible values (defined under DATA below) for each node are 1 (filled shapes), 0 (empty shapes) and -1 (completely ommited).

#define colors for each individual field column (if not defined all symbols will use the main dataset color, defined in COLOR)
#shapes for each field column; possible choices are
#1: rectangle 
#2: circle
#3: star
#4: right pointing triangle
#5: left pointing triangle
FIELD_LABELS,Top,Bottom,Sediment,Laurentian,Estuary,Inland,Particle,Free,Spring,Summer,Fall
FIELD_COLORS,#66ddff,#3366ee,#000099,#d73027,#fc8d59,#fee08b,#404040,#bababa,#d9ef8b,#41ab5d,#00441b
FIELD_SHAPES,1,1,1,3,3,3,2,2,5,5,5
# Rectangle = depth
# Star = group 
# Circle = fraction
# Triangle = Season

#all other optional settings can be set or changed later in the web interface (under 'Datasets' tab)

#show internal values; if set, values associated to internal nodes will be displayed even if these nodes are not collapsed. It could cause overlapping in the dataset display.
SHOW_INTERNAL,1
Otu029909,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu029879,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu014572,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu068438,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu019332,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu014746,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu019506,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu014570,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu010453,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu006040,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu003541,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu009266,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu010414,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu068010,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu007145,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu005936,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu068214,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu006369,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu003091,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu007180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu003194,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu068037,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu068180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu002580,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu001149,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1
Otu005927,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu014569,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu068128,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu001393,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu068406,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu052921,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu004896,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu010430,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu010422,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu004538,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu014146,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu028783,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu052840,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu052930,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu014167,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu008719,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu011067,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu018186,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu006560,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu052906,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu052739,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu052893,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu009120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu051215,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu052610,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu014144,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu052835,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu014142,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu014743,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu028569,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu018187,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu028570,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu028782,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu014165,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu003625,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu051224,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu051223,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu051214,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu011070,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu051226,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu032384,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu051222,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu032395,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu007305,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu051219,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu011066,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu002493,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu017122,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu051233,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu032371,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu014166,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu051213,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu051195,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu011068,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu051188,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu007306,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu017119,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu008720,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
Otu011069,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
Otu014141,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu032385,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu051190,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu052886,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu051212,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu006559,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1
Otu001697,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu000099,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1
Otu003552,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu006596,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu000649,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1
Otu018183,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu052731,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu032383,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu051189,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu007304,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu017117,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu052572,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu010232,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu042471,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu003574,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu031179,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu028567,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu032397,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu051231,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu055742,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu078632,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu005595,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu045854,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu016224,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu045411,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu022768,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu025957,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu045864,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu084691,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu045853,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu045856,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu084648,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu045706,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu045855,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu084654,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu045859,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu045860,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu045857,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu045861,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu045863,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu045867,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
