"Sample"	"Group"	"Lake"	"Date"	"Site"	"Depth"	"Fraction"	"Season"	"Origin"
"103"	"MDP.S.914"	"Estuary"	"Muskegon"	"Fa14"	"Deep"	"Sediment"	"Sediment"	"Fall"	"Sediment"
"104"	"MDPE.F.514"	"Estuary"	"Muskegon"	"Sp14"	"Deep"	"Top"	"Free"	"Spring"	"Water"
"105"	"MDPE.F.714"	"Estuary"	"Muskegon"	"Su14"	"Deep"	"Top"	"Free"	"Summer"	"Water"
"106"	"MDPE.F.914"	"Estuary"	"Muskegon"	"Fa14"	"Deep"	"Top"	"Free"	"Fall"	"Water"
"107"	"MDPE.P.714"	"Estuary"	"Muskegon"	"Su14"	"Deep"	"Top"	"Particle"	"Summer"	"Water"
"108"	"MDPE.P.914"	"Estuary"	"Muskegon"	"Fa14"	"Deep"	"Top"	"Particle"	"Fall"	"Water"
"109"	"MDPH.F.514"	"Estuary"	"Muskegon"	"Sp14"	"Deep"	"Bottom"	"Free"	"Spring"	"Water"
"110"	"MDPH.F.714"	"Estuary"	"Muskegon"	"Su14"	"Deep"	"Bottom"	"Free"	"Summer"	"Water"
"111"	"MDPH.F.914"	"Estuary"	"Muskegon"	"Fa14"	"Deep"	"Bottom"	"Free"	"Fall"	"Water"
"112"	"MDPH.P.514"	"Estuary"	"Muskegon"	"Sp14"	"Deep"	"Bottom"	"Particle"	"Spring"	"Water"
"113"	"MDPH.P.714"	"Estuary"	"Muskegon"	"Su14"	"Deep"	"Bottom"	"Particle"	"Summer"	"Water"
"114"	"MDPH.P.914"	"Estuary"	"Muskegon"	"Fa14"	"Deep"	"Bottom"	"Particle"	"Fall"	"Water"
"115"	"MIN.S.514"	"Estuary"	"Muskegon"	"Sp14"	"Inlet"	"Sediment"	"Sediment"	"Spring"	"Sediment"
"116"	"MIN.S.714"	"Estuary"	"Muskegon"	"Su14"	"Inlet"	"Sediment"	"Sediment"	"Summer"	"Sediment"
"117"	"MIN.S.914"	"Estuary"	"Muskegon"	"Fa14"	"Inlet"	"Sediment"	"Sediment"	"Fall"	"Sediment"
"118"	"MINE.F.514"	"Estuary"	"Muskegon"	"Sp14"	"Inlet"	"Top"	"Free"	"Spring"	"Water"
"119"	"MINE.F.714"	"Estuary"	"Muskegon"	"Su14"	"Inlet"	"Top"	"Free"	"Summer"	"Water"
"120"	"MINE.F.914"	"Estuary"	"Muskegon"	"Fa14"	"Inlet"	"Top"	"Free"	"Fall"	"Water"
"121"	"MINE.P.714"	"Estuary"	"Muskegon"	"Su14"	"Inlet"	"Top"	"Particle"	"Summer"	"Water"
"122"	"MINE.P.914"	"Estuary"	"Muskegon"	"Fa14"	"Inlet"	"Top"	"Particle"	"Fall"	"Water"
"123"	"MINH.F.514"	"Estuary"	"Muskegon"	"Sp14"	"Inlet"	"Bottom"	"Free"	"Spring"	"Water"
