Sample,Lake,Season,Date,Year,Fraction,Site,Depth,Time,Volume Filtered (L),Sample Depth (m),Temperature (C),SpCond (µS/cm),TDS (mg/L),pH,ORP (mV),Chl Lab (ug/L),BGA cells/mL,Cl mg/L,SO4 mg/L,NO3 mg/L,NH3 mg/L,TKN mg/L,SRP ug/L,TP ug/L,Alk mg/L,DO Lab mg/L,DO %,Turb NTU
MOTH1-P-714,Muskegon,Summer,7/22/14,2014,Particle,Outlet,Deep,Day,2.04,8.75,21.86,368,240,7.55,380,0,1110,22,13,0.15,0.02,0.61,2.5,18.6,146,5.56,63.5,1.1
MOTH1-F-714,Muskegon,Summer,7/22/14,2014,Free,Outlet,Deep,Day,2.04,8.75,21.86,368,240,7.55,380,0,1110,22,13,0.15,0.02,0.61,2.5,18.6,146,5.56,63.5,1.1
MOTH2-P-714,Muskegon,Summer,7/22/14,2014,Particle,Outlet,Deep,Day,1.94,8.75,21.86,368,240,7.55,380,0,1110,22,13,0.15,0.02,0.61,2.5,18.6,146,5.56,63.5,1.1
MOTH2-F-714,Muskegon,Summer,7/22/14,2014,Free,Outlet,Deep,Day,1.94,8.75,21.86,368,240,7.55,380,0,1110,22,13,0.15,0.02,0.61,2.5,18.6,146,5.56,63.5,1.1
MDPE1-P-714,Muskegon,Summer,7/22/14,2014,Particle,Deep,Surface,Day,1.11,1,23.35,370,241,7.99,388,2.99,94921,22,14,0.78,0.01,0.65,2.5,17.8,148,8.68,102,1.8
MDPE1-F-714,Muskegon,Summer,7/22/14,2014,Free,Deep,Surface,Day,1.11,1,23.35,370,241,7.99,388,2.99,94921,22,14,0.78,0.01,0.65,2.5,17.8,148,8.68,102,1.8
MDPE2-P-714,Muskegon,Summer,7/22/14,2014,Particle,Deep,Surface,Day,1.53,1,23.35,370,241,7.99,388,2.99,94921,22,14,0.78,0.01,0.65,2.5,17.8,148,8.68,102,1.8
MDPE2-F-714,Muskegon,Summer,7/22/14,2014,Free,Deep,Surface,Day,1.53,1,23.35,370,241,7.99,388,2.99,94921,22,14,0.78,0.01,0.65,2.5,17.8,148,8.68,102,1.8
MDPH1-P-714,Muskegon,Summer,7/22/14,2014,Particle,Deep,Deep,Day,1.8,22.77,12.48,329,214,7.33,415,0.81,429,19,19,0.92,0.02,0.47,7.5,23.6,124,7.83,73.6,1.8
MDPH1-F-714,Muskegon,Summer,7/22/14,2014,Free,Deep,Deep,Day,1.8,22.77,12.48,329,214,7.33,415,0.81,429,19,19,0.92,0.02,0.47,7.5,23.6,124,7.83,73.6,1.8
MDPH2-P-714,Muskegon,Summer,7/22/14,2014,Particle,Deep,Deep,Day,1.95,22.77,12.48,329,214,7.33,415,0.81,429,19,19,0.92,0.02,0.47,7.5,23.6,124,7.83,73.6,1.8
MDPH2-F-714,Muskegon,Summer,7/22/14,2014,Free,Deep,Deep,Day,1.95,22.77,12.48,329,214,7.33,415,0.81,429,19,19,0.92,0.02,0.47,7.5,23.6,124,7.83,73.6,1.8
MINE1-P-914,Muskegon,Fall,9/24/14,2014,Particle,Inlet,Surface,Day,1,1,17.98,427,278,8.17,391,2.45,3032,26,20,0.95,0.01,0.12,2.5,22.2,155,9.42,99.6,6.8
MINE1-F-914,Muskegon,Fall,9/24/14,2014,Free,Inlet,Surface,Day,1,1,17.98,427,278,8.17,391,2.45,3032,26,20,0.95,0.01,0.12,2.5,22.2,155,9.42,99.6,6.8
MINE2-P-914,Muskegon,Fall,9/24/14,2014,Particle,Inlet,Surface,Day,1.25,1,17.98,427,278,8.17,391,2.45,3032,26,20,0.95,0.01,0.12,2.5,22.2,155,9.42,99.6,6.8
MINE2-F-914,Muskegon,Fall,9/24/14,2014,Free,Inlet,Surface,Day,1.25,1,17.98,427,278,8.17,391,2.45,3032,26,20,0.95,0.01,0.12,2.5,22.2,155,9.42,99.6,6.8
MINH1-P-914,Muskegon,Fall,9/24/14,2014,Particle,Inlet,Deep,Day,1.5,6.92,17.73,427,278,8.22,386,1.03,1945,28,21,0.98,0.03,0.2,2.5,25.6,168,9.21,96.8,7.2
MINH1-F-914,Muskegon,Fall,9/24/14,2014,Free,Inlet,Deep,Day,1.5,6.92,17.73,427,278,8.22,386,1.03,1945,28,21,0.98,0.03,0.2,2.5,25.6,168,9.21,96.8,7.2
MINH2-P-914,Muskegon,Fall,9/24/14,2014,Particle,Inlet,Deep,Day,1,6.92,17.73,427,278,8.22,386,1.03,1945,28,21,0.98,0.03,0.2,2.5,25.6,168,9.21,96.8,7.2
MINH2-F-914,Muskegon,Fall,9/24/14,2014,Free,Inlet,Deep,Day,1,6.92,17.73,427,278,8.22,386,1.03,1945,28,21,0.98,0.03,0.2,2.5,25.6,168,9.21,96.8,7.2
MBRE1-P-914,Muskegon,Fall,9/24/14,2014,Particle,Bear,Surface,Day,1.1,1,17.26,391,254,8.26,392,2.94,3193,26,18,0.78,0.02,0.2,2.5,21.5,148,9.49,98.8,5.3
MBRE1-F-914,Muskegon,Fall,9/24/14,2014,Free,Bear,Surface,Day,1.1,1,17.26,391,254,8.26,392,2.94,3193,26,18,0.78,0.02,0.2,2.5,21.5,148,9.49,98.8,5.3
MBRE2-P-914,Muskegon,Fall,9/24/14,2014,Particle,Bear,Surface,Day,2,1,17.26,391,254,8.26,392,2.94,3193,26,18,0.78,0.02,0.2,2.5,21.5,148,9.49,98.8,5.3
MBRE2-F-914,Muskegon,Fall,9/24/14,2014,Free,Bear,Surface,Day,2,1,17.26,391,254,8.26,392,2.94,3193,26,18,0.78,0.02,0.2,2.5,21.5,148,9.49,98.8,5.3
MBRH1-P-914,Muskegon,Fall,9/24/14,2014,Particle,Bear,Deep,Day,1,15.15,11.54,335,218,7.42,416,0.57,2033,29,19,0.8,0.05,0.17,2.5,19.9,147,5.56,51.1,6.4
MBRH1-F-914,Muskegon,Fall,9/24/14,2014,Free,Bear,Deep,Day,1,15.15,11.54,335,218,7.42,416,0.57,2033,29,19,0.8,0.05,0.17,2.5,19.9,147,5.56,51.1,6.4
MBRH2-P-914,Muskegon,Fall,9/24/14,2014,Particle,Bear,Deep,Day,2,15.15,11.54,335,218,7.42,416,0.57,2033,29,19,0.8,0.05,0.17,2.5,19.9,147,5.56,51.1,6.4
MBRH2-F-914,Muskegon,Fall,9/24/14,2014,Free,Bear,Deep,Day,2,15.15,11.54,335,218,7.42,416,0.57,2033,29,19,0.8,0.05,0.17,2.5,19.9,147,5.56,51.1,6.4
MOTE1-P-914,Muskegon,Fall,9/24/14,2014,Particle,Outlet,Surface,Day,2,1,17.27,398,259,8.29,396,3.84,19308,32,20,0.83,0.02,0.7,2.5,21.4,154,9.44,98.3,5.6
MOTE1-F-914,Muskegon,Fall,9/24/14,2014,Free,Outlet,Surface,Day,2,1,17.27,398,259,8.29,396,3.84,19308,32,20,0.83,0.02,0.7,2.5,21.4,154,9.44,98.3,5.6
MOTE2-P-914,Muskegon,Fall,9/24/14,2014,Particle,Outlet,Surface,Day,1.6,1,17.27,398,259,8.29,396,3.84,19308,32,20,0.83,0.02,0.7,2.5,21.4,154,9.44,98.3,5.6
MOTE2-F-914,Muskegon,Fall,9/24/14,2014,Free,Outlet,Surface,Day,1.6,1,17.27,398,259,8.29,396,3.84,19308,32,20,0.83,0.02,0.7,2.5,21.4,154,9.44,98.3,5.6
MOTH1-P-914,Muskegon,Fall,9/24/14,2014,Particle,Outlet,Deep,Day,1.8,10.28,16.98,394,256,8.14,398,2.88,2112,30,20,0.82,0.05,0.47,2.5,17.3,150,8.48,87.8,4.9
MOTH1-F-914,Muskegon,Fall,9/24/14,2014,Free,Outlet,Deep,Day,1.8,10.28,16.98,394,256,8.14,398,2.88,2112,30,20,0.82,0.05,0.47,2.5,17.3,150,8.48,87.8,4.9
MOTH2-P-914,Muskegon,Fall,9/24/14,2014,Particle,Outlet,Deep,Day,1.8,10.28,16.98,394,256,8.14,398,2.88,2112,30,20,0.82,0.05,0.47,2.5,17.3,150,8.48,87.8,4.9
MOTH2-F-914,Muskegon,Fall,9/24/14,2014,Free,Outlet,Deep,Day,1.8,10.28,16.98,394,256,8.14,398,2.88,2112,30,20,0.82,0.05,0.47,2.5,17.3,150,8.48,87.8,4.9
MDPE1-P-914,Muskegon,Fall,9/24/14,2014,Particle,Deep,Surface,Day,2,1,17.6,401,260,8.28,401,2.94,78016,28,20,0.83,0.03,0.54,2.5,17.8,154,10.04,105.3,5
MDPE1-F-914,Muskegon,Fall,9/24/14,2014,Free,Deep,Surface,Day,2,1,17.6,401,260,8.28,401,2.94,78016,28,20,0.83,0.03,0.54,2.5,17.8,154,10.04,105.3,5
MDPE2-P-914,Muskegon,Fall,9/24/14,2014,Particle,Deep,Surface,Day,2,1,17.6,401,260,8.28,401,2.94,78016,28,20,0.83,0.03,0.54,2.5,17.8,154,10.04,105.3,5
MDPE2-F-914,Muskegon,Fall,9/24/14,2014,Free,Deep,Surface,Day,2,1,17.6,401,260,8.28,401,2.94,78016,28,20,0.83,0.03,0.54,2.5,17.8,154,10.04,105.3,5
MDPH1-P-914,Muskegon,Fall,9/24/14,2014,Particle,Deep,Deep,Day,1.7,22.77,12.8,339,220,7.28,198,0.8,2509,21,20,0.88,0.02,0.36,20.5,48.7,132,0.38,3.5,-2.5
MDPH1-F-914,Muskegon,Fall,9/24/14,2014,Free,Deep,Deep,Day,1.7,22.77,12.8,339,220,7.28,198,0.8,2509,21,20,0.88,0.02,0.36,20.5,48.7,132,0.38,3.5,-2.5
MDPH2-P-914,Muskegon,Fall,9/24/14,2014,Particle,Deep,Deep,Day,1.7,22.77,12.8,339,220,7.28,198,0.8,2509,21,20,0.88,0.02,0.36,20.5,48.7,132,0.38,3.5,-2.5
MDPH2-F-914,Muskegon,Fall,9/24/14,2014,Free,Deep,Deep,Day,1.7,22.77,12.8,339,220,7.28,198,0.8,2509,21,20,0.88,0.02,0.36,20.5,48.7,132,0.38,3.5,-2.5
