Sample,Lake,Season,Date,Year,Fraction,Site,Depth,Time,Volume Filtered (L),Sample Depth (m),Chl Lab (ug/L),NO3 mg/L,SRP ug/L,TP ug/L,TDP ug/L,NH4 ug/L,,
Z14-031-F,Halfmoon,Summer,6/26/14,2015,Free,Hypo,Deep,Day,1.1,23,0.57,0.29,144.14,116.59,111.21,296.23,,
Z14-032-P,Halfmoon,Summer,6/26/14,2014,Particle,Outlet,Surface,Day,1.6,2,6.5,0.202,0.31,17.15,8.35,9.31,,
Z14-032-F,Halfmoon,Summer,6/26/14,2015,Free,Outlet,Surface,Day,1.6,2,6.5,0.202,0.31,17.15,8.35,9.31,,
Z14-033-P,Cedar,Summer,6/27/14,2014,Particle,Inlet,Surface,Day,0.3,2,3.52,0.166,1.03,13.82,4,14.66,,
Z14-033-F,Cedar,Summer,6/27/14,2015,Free,Inlet,Surface,Day,0.3,2,3.52,0.166,1.03,13.82,4,14.66,,
Z14-034-P,Cedar,Summer,6/27/14,2014,Particle,Epi,Surface,Day,0.25,2,3.64,0.165,0.4,13.3,4.7,222.6,,
Z14-034-F,Cedar,Summer,6/27/14,2015,Free,Epi,Surface,Day,0.25,2,3.64,0.165,0.4,13.3,4.7,222.6,,
Z14-035-P,Cedar,Summer,6/27/14,2014,Particle,Hypo,Deep,Day,0.35,5,4.95,0.166,8.38,18.94,5.13,216.38,,
Z14-035-F,Cedar,Summer,6/27/14,2015,Free,Hypo,Deep,Day,0.35,5,4.95,0.166,8.38,18.94,5.13,216.38,,
Z14-036-P,Cedar,Summer,6/27/14,2014,Particle,Outlet,Surface,Day,0.3,2,4.27,0.165,0.49,14.05,5.72,4.13,,
Z14-036-F,Cedar,Summer,6/27/14,2015,Free,Outlet,Surface,Day,0.3,2,4.27,0.165,0.49,14.05,5.72,4.13,,
Z14-037-P,Sand,Summer,6/27/14,2014,Particle,Inlet,Surface,Day,0.5,2,1.86,0.165,1.32,9.58,3.1,3.89,,
Z14-037-F,Sand,Summer,6/27/14,2015,Free,Inlet,Surface,Day,0.5,2,1.86,0.165,1.32,9.58,3.1,3.89,,
Z14-038-P,Sand,Summer,6/27/14,2014,Particle,Epi,Surface,Day,0.5,2,1.92,0.165,0.34,8.67,2.68,2.59,,
Z14-038-F,Sand,Summer,6/27/14,2015,Free,Epi,Surface,Day,0.5,2,1.92,0.165,0.34,8.67,2.68,2.59,,
Z14-039-P,Sand,Summer,6/27/14,2014,Particle,Hypo,Deep,Day,0.75,9,3.47,0.173,1.15,11.66,3.74,81.48,,
Z14-039-F,Sand,Summer,6/27/14,2015,Free,Hypo,Deep,Day,0.75,9,3.47,0.173,1.15,11.66,3.74,81.48,,
Z14-040-P,Sand,Summer,6/27/14,2014,Particle,Outlet,Surface,Day,0.5,2,1.72,0.164,1.4,11.4,4.02,3.97,,
Z14-040-F,Sand,Summer,6/27/14,2015,Free,Outlet,Surface,Day,0.5,2,1.72,0.164,1.4,11.4,4.02,3.97,,
Z14-041-P,Whitmore,Summer,6/29/14,2014,Particle,Inlet,Surface,Day,0.5,2,3.71,0.168,42.56,13.56,2.78,3.83,,
Z14-041-F,Whitmore,Summer,6/29/14,2015,Free,Inlet,Surface,Day,0.5,2,3.71,0.168,42.56,13.56,2.78,3.83,,
Z14-042-P,Whitmore,Summer,6/29/14,2014,Particle,Epi,Surface,Day,0.45,2,4.38,0.165,0.34,16.58,5.62,2.44,,
Z14-042-F,Whitmore,Summer,6/29/14,2015,Free,Epi,Surface,Day,0.45,2,4.38,0.165,0.34,16.58,5.62,2.44,,
Z14-043-P,Whitmore,Summer,6/29/14,2014,Particle,Hypo,Deep,Day,1.45,11,0.85,0.178,0,10.03,3.86,105.29,,
Z14-043-F,Whitmore,Summer,6/29/14,2015,Free,Hypo,Deep,Day,1.45,11,0.85,0.178,0,10.03,3.86,105.29,,
Z14-044-P,Whitmore,Summer,6/29/14,2014,Particle,Outlet,Surface,Day,NA,2,4.33,0.165,0,19.23,4.25,3.42,,
Z14-044-F,Whitmore,Summer,6/29/14,2015,Free,Outlet,Surface,Day,NA,2,4.33,0.165,0,19.23,4.25,3.42,,
Z14-045-P,Independence,Summer,6/29/14,2014,Particle,Inlet,Surface,Day,0.7,2,3.58,0.165,0.64,14.23,5.96,10.2,,
Z14-045-F,Independence,Summer,6/29/14,2015,Free,Inlet,Surface,Day,0.7,2,3.58,0.165,0.64,14.23,5.96,10.2,,
Z14-046-P,Independence,Summer,6/29/14,2014,Particle,Epi,Surface,Day,0.75,2,5.2,0.165,0.35,14.46,5.4,4.95,,
Z14-046-F,Independence,Summer,6/29/14,2015,Free,Epi,Surface,Day,0.75,2,5.2,0.165,0.35,14.46,5.4,4.95,,
Z14-047-P,Independence,Summer,6/29/14,2014,Particle,Hypo,Deep,Day,0.9,7.5,5.98,0.167,0,19.49,4.91,249.87,,
Z14-047-F,Independence,Summer,6/29/14,2015,Free,Hypo,Deep,Day,0.9,7.5,5.98,0.167,0,19.49,4.91,249.87,,
Z14-048-P,Independence,Summer,6/29/14,2014,Particle,Outlet,Surface,Day,1.25,2,4.58,0.166,0,15.72,5.93,8.43,,
Z14-048-F,Independence,Summer,6/29/14,2015,Free,Outlet,Surface,Day,1.25,2,4.58,0.166,0,15.72,5.93,8.43,,
Z14-049-P,North,Fall,10/13/14,2014,Particle,Epi,Surface,Day,1.6,2,13.88,0.164,1.47,20.32,4.31,4.78,,
